,Class i,Class j,Statistic,P-value(rounded),P-value(exp)
2665,31.0,93.0,-1.7150658802999164,0.086599,0.08659869430152166
2666,31.0,94.0,24.25071796857606,0.0,5.911586239091918e-105
2667,31.0,95.0,20.68271895906204,0.0,4.909916664880313e-82
2668,31.0,96.0,-5.768174566759085,0.0,1.0559680205156132e-08
2669,31.0,97.0,29.302833992550745,0.0,1.854034008339962e-129
2670,31.0,98.0,31.038746133204985,0.0,7.272445706241277e-139
2671,31.0,99.0,23.711816745970566,0.0,3.2422233063607777e-100
2672,32.0,33.0,-17.551183135628083,0.0,1.24848672948065e-61
2673,32.0,34.0,-5.75769301223192,0.0,9.956532105324562e-09
2674,32.0,35.0,2.2017039567807033,0.027808,0.027807524743153844
2675,32.0,36.0,-2.8412261392378353,0.004545,0.004544641346800687
2676,32.0,37.0,1.330484245633488,0.183522,0.18352203233928965
2677,32.0,38.0,10.186104944598066,0.0,1.3402939395609905e-23
2678,32.0,39.0,13.838436099771325,0.0,9.588982655784332e-41
2679,32.0,40.0,2.353563117411743,0.018701,0.018700596989085307
2680,32.0,41.0,5.881849888602639,0.0,4.822080007140424e-09
2681,32.0,42.0,11.549758466259698,0.0,1.396588842135925e-29
2682,32.0,43.0,11.571480887858613,0.0,1.4744373393442178e-29
2683,32.0,44.0,1.9566551519946975,0.050538,0.050537729490597594
2684,32.0,45.0,-4.6641250745169005,3e-06,3.3788260874716547e-06
2685,32.0,46.0,11.374775145083332,0.0,9.894247915532808e-29
2686,32.0,47.0,6.064783178393677,0.0,1.6443343396104938e-09
2687,32.0,48.0,0.0825146576204775,0.934247,0.9342466684890138
2688,32.0,49.0,-5.107807890551043,0.0,3.731769773473449e-07
2689,32.0,50.0,7.636960223875544,0.0,3.9070127628871407e-14
2690,32.0,51.0,8.793532229830978,0.0,3.995698901143384e-18
2691,32.0,52.0,4.63808217578005,4e-06,3.844278034487582e-06
2692,32.0,53.0,8.264551962938654,0.0,2.960502770461442e-16
2693,32.0,54.0,16.84654585462119,0.0,2.9772041568716855e-57
2694,32.0,55.0,10.734031121664204,0.0,7.248204286320789e-26
2695,32.0,56.0,12.193378669111318,0.0,1.8345248746814627e-32
2696,32.0,57.0,12.133516719181044,0.0,3.975258656799318e-32
2697,32.0,58.0,2.3389625735221253,0.019469,0.01946866856737667
2698,32.0,59.0,12.13933942691133,0.0,2.607914540528692e-32
2699,32.0,60.0,15.154066548004922,0.0,7.545342589804389e-48
2700,32.0,61.0,14.878468697762974,0.0,1.1931234998589613e-46
2701,32.0,62.0,13.523315614059225,0.0,4.9066474081112103e-39
2702,32.0,63.0,16.03049906799748,0.0,1.551117018057127e-52
2703,32.0,64.0,19.32633955639099,0.0,5.133952792938145e-72
2704,32.0,65.0,13.432223217105811,0.0,5.386736223228184e-39
2705,32.0,66.0,18.629084345946264,0.0,4.478772277304504e-68
2706,32.0,67.0,19.01003387217719,0.0,4.0215378743908174e-70
2707,32.0,68.0,19.397743181391764,0.0,1.6355318875665662e-72
2708,32.0,69.0,11.290280931736374,0.0,1.327459929530334e-28
2709,32.0,70.0,10.322980266769783,0.0,3.025786278538659e-24
2710,32.0,71.0,7.438115077942966,0.0,1.621746598542761e-13
2711,32.0,72.0,-8.640703158786824,0.0,2.09494056555851e-17
2712,32.0,73.0,0.3844875422008001,0.700662,0.7006617398206871
2713,32.0,74.0,14.101577593891198,0.0,2.617765732931311e-42
2714,32.0,75.0,-7.743611720563746,0.0,2.1865763492290164e-14
2715,32.0,76.0,2.6760126280833245,0.007516,0.007516487029480793
2716,32.0,77.0,0.7373523430468766,0.461006,0.4610055776835199
2717,32.0,78.0,17.613271843082646,0.0,9.294294869246904e-62
2718,32.0,79.0,18.261415140933355,0.0,1.0165476081286048e-65
2719,32.0,80.0,13.719706229155353,0.0,2.3842429647909354e-40
2720,32.0,81.0,17.583314185107522,0.0,1.4209963538348485e-61
2721,32.0,82.0,15.468256874468938,0.0,8.326778270123017e-50
2722,32.0,83.0,17.737702978035575,0.0,1.1070244896851659e-62
2723,32.0,84.0,16.935973140421268,0.0,8.889556203829382e-58
2724,32.0,85.0,13.092853172355126,0.0,3.5641134183871947e-37
2725,32.0,86.0,19.62253932606034,0.0,5.176937086993434e-74
2726,32.0,87.0,19.930478471324584,0.0,3.056325244647639e-76
2727,32.0,88.0,17.998409704679933,0.0,3.410141217047905e-64
2728,32.0,89.0,13.168891101824187,0.0,1.5482605650661095e-37
2729,32.0,90.0,11.33596766065115,0.0,9.828582391861187e-29
2730,32.0,91.0,18.355083530155525,0.0,2.365123631648587e-66
2731,32.0,92.0,17.717141116227502,0.0,1.2651227772488894e-62
2732,32.0,93.0,-3.7415563579953437,0.000191,0.00019088529667994899
2733,32.0,94.0,15.49442270501925,0.0,2.8911920972960093e-50
